label,study,manipulation,error.direction,comparison,population,n1i,m1i,sd1i,n2i,m2i,sd2i,yi,vi
DS_82,Chiviacowsky et al. (2012),task.diff,negative,positive.to.control,adults,17,-32.59259259,12.21660926,17,-30.37037037,6.108304631,-0.224647134443704,0.120178902245664
RS_10,Chiviacowsky et al. (2018),task.diff,positive,positive.to.control,older,13,14.779,5.189,13,14.107,4.716,0.131246991254177,0.156628117111346
DS_90,Chiviacowsky et al. (2019),positive.f,negative,positive.to.control,adults,14,-33.42,11.51,14,-41.94,7.1,0.864969980842594,0.161291949622592
DS_38,Chung et al. (2020),concept.ab,positive,positive.to.control,specialp,15,12.56,2.85,14,10.75,3.1,0.590797296916694,0.146767397933119
RS_02,Drews et al. (2013)a,concept.ab,positive,enhanced.to.diminished,children,20,28.47826087,17.49966243,20,20.43478261,17.49966243,0.4504942163013,0.103682678101086
RS_02,Drews et al. (2013)b,concept.ab,positive,enhanced.to.diminished,children,20,30.90909091,20.3278907,20,25.90909091,21.34428524,0.235125472580436,0.101817949045218
RS_02,Drews et al. (2013)c,concept.ab,positive,enhanced.to.diminished,children,20,45.88235294,13.67947469,20,36.47058824,15.78400925,0.62457828180284,0.106147841691176
DS_56,Ghorbani & Bund (2020)a,positive.f,positive,enhanced.to.diminished,adults,15,78.65384615,14.89608979,15,70,14.1512853,0.579524889261249,0.140920069380251
DS_56,Ghorbani & Bund (2020)b,positive.f,positive,enhanced.to.diminished,adults,15,77.5,14.89608979,15,67.88461538,12.66167632,0.676725125121663,0.143170123904561
DS_57,Ghorbani (2019),positive.f,positive,enhanced.to.diminished,adults,12,4.30075188,0.468825782,12,3.187969925,0.416734029,2.4221563696113,0.29546318420703
RS_07,Goudini et al. (2018),positive.f,negative,enhanced.to.diminished,adults,11,-1.015,0.176,11,-1.794,0.162,4.4302533216367,0.642215882496199
DS_94,Grealy et al. (2019)a,social.comparison,negative,positive.to.control,adults,21,-43.95,20.96,21,-46,16.58,0.106431978859393,0.0964016363005586
DS_94,Grealy et al. (2019)b,social.comparison,negative,positive.to.control,older,17,-75.94,55.32,17,-76.18,43.2,0.00472127412122164,0.119156976073133
DS_16,Harter et al. (2019),concept.ab,positive,enhanced.to.diminished,children,20,8.11,1.347,20,7.35,0.845,0.662487636467831,0.107715643896459
DS_92,Jennings et al. (2013),self.model,negative,positive.to.control,children,9,-10.07,0.53,10,-9.47,0.59,-1.02186847743233,0.242117567857345
DS_09,Lessa et al. (2018),social.comparison,negative,positive.to.control,older,17,-0.8125,0.463849383,17,-0.9875,0.670004664,0.296519089630706,0.120628471803856
DS_83,Lewthwaite & Wulf (2010),social.comparison,negative,positive.to.control,adults,12,-5.72093,1.61121,12,-10.60465,2.416815,2.29563061698942,0.297624151003303
RS_06,Navaee et al. (2016),positive.f,negative,positive.to.control,adults,10,-1.45,0.31,10,-5.97,1.24,4.78930472904573,1.24304241936506
DS_95,Navaee et al. (2018),social.comparison,positive,positive.to.control,specialp,10,NA,NA,10,NA,NA,0.443736667264522,0.188378219305693
DS_08,Ong & Hodges (2018),social.comparison,negative,positive.to.control,adults,10,-6.492423571,1.280003568,10,-6.329601571,2.294139949,-0.0839386404804564,0.204026035178788
DS_52,Ong et al. (2015),task.diff,negative,enhanced.to.diminished,adults,28,-11.3986014,2.965034965,27,-12.12587413,3.636363636,0.21608920973002,0.0740927671296101
DS_88,Ong et al. (2019),task.diff,negative,enhanced.to.diminished,adults,14,-14.63829787,5.413461751,15,-15.82978723,6.262696475,0.197835590141024,0.140078381794717
DS_34,Palmer et al. (2016),task.diff,negative,enhanced.to.diminished,adults,17,-28.6,9.17,17,-37.2,11.38,0.812500666369407,0.129433927203192
DS_04,Pascua et al. (2015)a,social.comparison,positive,positive.to.control,adults,13,1.916666667,0.450693909,13,1.135416667,0.338020432,1.89912047117842,0.232272519633417
DS_04,Pascua et al. (2015)b,social.comparison,positive,positive.to.control,adults,13,2.8125,0.71359869,13,1.947916667,0.300462606,1.52920650850096,0.224283345280997
RS_01,Saemi et al. (2011),positive.f,positive,enhanced.to.diminished,children,14,39.13793103,17.41806025,14,17.75862069,12.25715351,1.37816417857139,0.18335014388173
DS_51,Saemi et al. (2012),positive.f,positive,enhanced.to.diminished,adults,12,51.91,13.16,12,34.25,23.79,0.886889631836316,0.190839753216433
RS_13,Steel et al. (2016)a,rewards,negative,positive.to.control,adults,12,-342.9441624,29.54157723,12,-336.8527919,14.77078861,-0.251809094698173,0.171298606063894
RS_13,Steel et al. (2016)b,rewards,negative,positive.to.control,adults,9,-4.055837563,0.639593909,10,-3.994923858,0.577878151,-0.0954515110595783,0.216921486396452
DS_63,Wulf et al. (2010),social.comparison,negative,enhanced.to.diminished,adults,14,-489.8305085,164.8865967,14,-540.6779661,139.519428,0.323209994094469,0.146945878142003
DS_06,Wulf et al. (2012)a,social.comparison,positive,positive.to.control,older,15,14.82386667,3.403496517,14,11.3295,4.167699665,0.892612121941688,0.155894810809041
DS_06,Wulf et al. (2012)b,task.diff,positive,positive.to.control,older,14,15.89015714,3.82426311,14,12.83949333,3.523425684,0.805473812839299,0.156838492791691
RS_03,Wulf et al. (2013),concept.ab+positive.feedback,negative,enhanced.to.diminished,adults,14,-6.31,1.97,14,-8.48,2.58,0.91780749679673,0.161327873457711
DS_03,Wulf et al. (2014)a,social.comparison,positive,positive.to.control,children,16,37.14285714,11.42857143,16,27.38095238,12.38095238,0.798659917400079,0.136851552359054
DS_03,Wulf et al. (2014)b,social.comparison,positive,positive.to.control,children,16,42.14285714,18.0952381,16,37.14285714,14.28571429,0.298965233675772,0.128177787216815
DS_103,Wulf et al. (2018),social.comparison,positive,positive.to.control,adults,20,39.2,11.7,20,25.2,14,1.06357386611835,0.115866206734996
RS_12,"Ziv, Lidor, et al. (2019)",task.diff,negative,positive.to.control,adults,15,-32.73809524,15.67636116,15,-45.95238095,15.67636116,0.820126738186551,0.146597566534351
DS_35,"Ziv, Ochayon, et al. (2019)",task.diff,negative,positive.to.control,adults,15,-27.81021898,6.784788344,15,-28.42335766,6.954408052,0.0868314040391961,0.135355653637431
DS_22,Zobe et al. (2019),social.comparison,negative,enhanced.to.diminished,adults,14,-6.096774194,2.177419355,14,-5.048387097,1.89516129,-0.498635222064865,0.149592903011698
